price,manufacturer_country,age,mileage,category,leather_interior,fuel_type,engine_volume,turbo,gear_box_type,drive_wheels,steering_side,doors,airbags
9095,Italy,10,141000,Coupe,No,Petrol,1.2,No,Automatic,Front,Right,2-3,4
1568,Germany,7,82392,Sedan,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,12
3136,Japan,16,180000,Goods Wagon,No,Petrol,2.0,Yes,Tiptronic,4X4,Right,4-5,6
17876,South Korea,8,117920,Sedan,Yes,Petrol,1.8,No,Tiptronic,Front,Left,4-5,12
11290,South Korea,5,279787,Sedan,Yes,Lpg,2.0,No,Automatic,Front,Left,4-5,4
36065,Japan,11,227200,Minivan,Yes,Petrol,3.5,No,Tiptronic,Front,Left,4-5,16
21395,South Korea,9,166144,Universal,Yes,Diesel,2.5,No,Automatic,Front,Left,4-5,4
15681,South Korea,5,258706,Sedan,Yes,Lpg,2.0,No,Automatic,Front,Left,4-5,4
40070,Japan,5,25807,Hatchback,Yes,Petrol,1.5,No,Automatic,Front,Left,4-5,4
11917,Germany,13,180000,Hatchback,No,Petrol,1.7,No,Automatic,Front,Left,4-5,8
35927,,8,137267,Jeep,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,4
21012,Japan,7,160000,Sedan,No,Hybrid,1.8,No,Automatic,4X4,Left,4-5,4
21012,Japan,3,27358,Sedan,Yes,Petrol,3.5,No,Automatic,Front,Left,4-5,12
13172,South Korea,12,84176,Minivan,Yes,Diesel,2.9,No,Automatic,Front,Left,4-5,6
15624,South Korea,10,107005,Coupe,Yes,Petrol,2.0,No,Automatic,Front,Left,4-5,4
5488,Japan,6,124154,Jeep,Yes,Petrol,3.5,No,Automatic,4X4,Left,4-5,12
20005,South Korea,9,104997,Sedan,Yes,Petrol,1.6,No,Automatic,Front,Left,4-5,4
36110,Germany,4,27728,Sedan,Yes,Petrol,1.8,No,Tiptronic,Front,Left,4-5,8
43880,South Korea,5,113700,Jeep,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,4
29479,Germany,7,69000,Sedan,Yes,Petrol,1.8,Yes,Tiptronic,Rear,Left,4-5,8
17249,Japan,10,152000,Sedan,Yes,Hybrid,2.5,No,Variator,Front,Left,4-5,12
9408,Japan,18,181926,Universal,No,Petrol,1.5,No,Automatic,4X4,Right,4-5,2
44213,South Korea,5,50255,Jeep,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,4
8467,Germany,20,252800,Sedan,Yes,Petrol,2.5,No,Manual,Rear,Left,4-5,6
21950,USA,10,125000,Goods Wagon,No,Diesel,2.4,Yes,Manual,4X4,Left,4-5,2
3136,USA,7,156992,Sedan,Yes,Petrol,1.4,No,Automatic,Front,Left,4-5,12
20385,Japan,16,184000,Minivan,Yes,Petrol,3.0,No,Automatic,4X4,Right,4-5,12
7840,Germany,17,170000,Universal,No,Lpg,1.9,No,Tiptronic,Front,Left,4-5,4
1490,Germany,7,113214,Universal,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,12
13172,Japan,19,260000,Jeep,No,Petrol,2.4,No,Automatic,4X4,Left,4-5,6
4704,Germany,8,301707,Hatchback,Yes,Petrol,3.0,No,Automatic,4X4,Left,4-5,0
5802,Germany,8,107800,Sedan,Yes,Diesel,3.5,No,Automatic,Rear,Left,4-5,12
25716,Japan,7,115200,Sedan,No,Petrol,2.5,No,Automatic,Front,Left,4-5,8
14426,USA,9,132036,Jeep,Yes,Lpg,2.0,No,Automatic,Front,Left,4-5,4
10820,Japan,20,91000,Jeep,No,Petrol,2.0,No,Automatic,4X4,Right,2-3,4
45436,USA,10,129177,Jeep,Yes,Petrol,3.5,No,Automatic,Front,Left,4-5,4
11917,South Korea,13,201000,Hatchback,No,Diesel,1.6,No,Manual,Front,Left,4-5,8
41281,South Korea,6,185811,Jeep,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,4
3058,Germany,3,28968,Sedan,Yes,Petrol,3.6,No,Automatic,4X4,Left,4-5,12
3700,Italy,20,240000,Coupe,Yes,Petrol,1.8,No,Manual,Front,Left,2-3,4
15681,Japan,13,98000,Jeep,No,Petrol,1.6,No,Automatic,4X4,Left,2-3,12
6586,Japan,10,122302,Hatchback,Yes,Hybrid,1.8,No,Automatic,Front,Left,4-5,0
12544,Japan,14,140000,Hatchback,No,Hybrid,1.5,No,Automatic,Front,Left,4-5,6
30063,South Korea,7,120000,Jeep,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,4
21639,South Korea,6,17200,Hatchback,No,Petrol,1.6,No,Tiptronic,Front,Left,2-3,10
36692,Japan,8,120000,Jeep,No,Petrol,2.5,No,Tiptronic,Front,Left,4-5,0
12231,Japan,7,66000,Hatchback,No,Hybrid,1.5,No,Variator,Front,Right,4-5,4
3136,Japan,17,300000,Sedan,No,Petrol,1.5,No,Variator,Front,Right,4-5,4
10663,Japan,12,230000,Sedan,Yes,Hybrid,1.8,No,Variator,Front,Left,4-5,6
5620,Japan,8,110467,Hatchback,Yes,Petrol,1.3,No,Automatic,Front,Left,4-5,4
9408,Japan,9,64000,Hatchback,No,Hybrid,1.3,No,Variator,Front,Right,4-5,4
15367,Germany,8,179200,Sedan,Yes,Diesel,2.0,Yes,Tiptronic,Front,Left,4-5,16
26594,South Korea,7,179918,Minivan,Yes,Diesel,2.5,No,Automatic,Front,Left,4-5,4
36065,Japan,8,92200,Sedan,Yes,Hybrid,2.5,No,Tiptronic,Front,Left,4-5,12
26343,South Korea,5,29000,Sedan,Yes,Diesel,1.6,Yes,Tiptronic,Front,Left,4-5,8
14000,South Korea,8,50000,Sedan,No,Petrol,1.8,No,Tiptronic,Front,Left,4-5,10
17923,USA,7,127842,Sedan,Yes,Petrol,1.4,No,Automatic,Front,Left,4-5,4
10349,Germany,18,180000,Hatchback,No,Petrol,1.6,No,Manual,Front,Left,4-5,6
8154,Japan,19,115000,Hatchback,No,Petrol,1.3,No,Automatic,Front,Right,4-5,7
7527,Germany,8,132310,Sedan,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,12
3450,Japan,4,60762,Sedan,Yes,Petrol,2.5,No,Automatic,Front,Left,4-5,12
22063,South Korea,11,142264,Jeep,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,4
4704,Japan,8,227371,Sedan,Yes,Petrol,1.8,No,Automatic,Front,Left,4-5,12
5331,Germany,19,175000,Sedan,Yes,Petrol,2.8,No,Manual,Front,Left,4-5,6
16900,Japan,8,70000,Hatchback,Yes,Petrol,1.5,No,Automatic,Front,Left,4-5,4
18189,Japan,11,122000,Jeep,Yes,Petrol,2.5,No,Automatic,4X4,Left,4-5,4
5331,Japan,21,127000,Minivan,No,Petrol,2.5,No,Automatic,Front,Left,4-5,4
42651,Germany,4,44995,Jeep,Yes,Petrol,2.0,No,Automatic,4X4,Left,4-5,0
15524,Japan,9,122324,Hatchback,No,Hybrid,1.8,No,Automatic,Front,Left,4-5,7
17249,Germany,14,111111,Sedan,Yes,Petrol,3.0,No,Tiptronic,Rear,Left,4-5,10
28909,South Korea,4,98000,Sedan,Yes,Diesel,1.6,No,Automatic,Front,Left,4-5,4
14426,South Korea,7,169024,Sedan,Yes,Lpg,2.0,No,Automatic,Front,Left,4-5,4
9000,Germany,10,126000,Minivan,No,Petrol,1.4,No,Automatic,Front,Right,4-5,6
30734,Germany,7,200179,Sedan,Yes,Diesel,3.5,No,Automatic,4X4,Left,4-5,12
22580,Japan,8,156666,Sedan,Yes,Petrol,2.5,No,Automatic,Front,Left,4-5,12
7464,Japan,7,114950,Hatchback,Yes,Hybrid,1.3,No,Automatic,Front,Left,4-5,4
1333,USA,5,154850,Sedan,Yes,Petrol,2.5,No,Automatic,Front,Left,4-5,12
7683,Japan,15,200000,Sedan,Yes,Cng,1.8,No,Variator,Front,Left,4-5,2
22266,USA,8,85500,Sedan,Yes,Petrol,1.6,Yes,Automatic,Front,Left,4-5,8
2430,Germany,13,175614,Sedan,Yes,Diesel,3.0,No,Automatic,Rear,Left,4-5,12
39161,,4,73000,Jeep,Yes,Diesel,1.6,No,Automatic,Front,Left,4-5,4
16308,USA,13,180000,Microbus,No,Diesel,2.2,No,Manual,Front,Left,4-5,2
17719,Japan,12,92000,Sedan,Yes,Hybrid,2.4,No,Tiptronic,Front,Left,4-5,8
20385,USA,4,42000,Sedan,No,Petrol,1.4,Yes,Tiptronic,Front,Left,>5,12
15241,South Korea,10,117492,Coupe,Yes,Petrol,2.0,No,Automatic,Front,Left,4-5,4
2587,USA,6,88795,Sedan,Yes,Hybrid,2.0,No,Automatic,Front,Left,4-5,0
15524,South Korea,13,56769,Minivan,Yes,Diesel,2.5,No,Automatic,Front,Left,4-5,4
27911,Germany,7,70000,Sedan,Yes,Petrol,1.8,Yes,Tiptronic,Rear,Left,4-5,8
4861,Japan,8,136861,Sedan,Yes,Hybrid,2.5,No,Automatic,Front,Left,4-5,12
29793,Germany,16,263000,Sedan,Yes,Petrol,3.5,No,Automatic,Rear,Left,4-5,0
18208,South Korea,9,95665,Sedan,Yes,Petrol,1.6,No,Automatic,Front,Left,4-5,4
34497,Japan,8,65350,Jeep,No,Petrol,2.5,No,Tiptronic,Front,Left,4-5,12
6272,Germany,21,130000,Goods Wagon,No,Petrol,1.8,No,Manual,Front,Left,4-5,0
4924,USA,14,183923,Jeep,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,4
4704,Germany,21,11111,Hatchback,No,Diesel,2.0,Yes,Manual,Front,Left,4-5,2
43576,South Korea,5,97129,Universal,Yes,Diesel,2.5,No,Automatic,Front,Left,4-5,4
7840,Germany,20,140000,Sedan,Yes,Cng,2.0,No,Manual,Rear,Left,4-5,4
28225,Japan,3,24000,Jeep,No,Petrol,2.0,No,Automatic,Front,Left,4-5,8
18817,USA,4,29094,Hatchback,Yes,Petrol,1.4,No,Automatic,Front,Left,4-5,0
4861,USA,6,148709,Sedan,Yes,Hybrid,2.0,No,Automatic,Front,Left,4-5,12
13172,Japan,11,186005,Jeep,Yes,Hybrid,3.5,No,Automatic,4X4,Left,4-5,12
37320,Germany,8,156800,Sedan,Yes,Petrol,3.5,No,Tiptronic,4X4,Left,4-5,12
39201,Japan,6,35000,Sedan,Yes,Hybrid,2.5,No,Automatic,Front,Left,4-5,10
36426,South Korea,3,35643,Sedan,Yes,Lpg,1.6,No,Automatic,Front,Left,4-5,4
8467,Japan,15,250000,Hatchback,No,Petrol,1.8,No,Manual,Front,Right,4-5,4
7840,Germany,21,255000,Coupe,Yes,Petrol,3.2,No,Tiptronic,Rear,Left,2-3,4
12701,Japan,6,117158,Jeep,Yes,Petrol,2.4,No,Automatic,Front,Left,4-5,12
8154,Japan,9,281659,Jeep,Yes,Petrol,2.5,No,Automatic,4X4,Left,4-5,0
46414,Japan,6,63645,Sedan,Yes,Hybrid,2.5,No,Tiptronic,Front,Left,4-5,12
45160,Germany,6,197338,Jeep,Yes,Diesel,2.1,No,Automatic,4X4,Left,4-5,12
1176,Japan,7,136634,Hatchback,Yes,Petrol,2.0,No,Automatic,Front,Left,4-5,12
12231,South Korea,8,77000,Coupe,No,Petrol,1.8,No,Manual,Front,Left,2-3,0
5802,Japan,14,140000,Hatchback,Yes,Hybrid,1.5,No,Variator,Front,Left,4-5,12
2901,South Korea,3,45494,Sedan,Yes,Petrol,2.4,No,Automatic,Front,Left,4-5,12
1882,Japan,4,47672,Sedan,Yes,Hybrid,1.8,No,Automatic,Front,Left,4-5,12
11290,Japan,8,145000,Sedan,No,Hybrid,1.3,No,Automatic,Front,Right,4-5,8
14426,Japan,15,188800,Sedan,Yes,Hybrid,2.4,No,Variator,Front,Left,4-5,8
36065,Japan,5,39000,Jeep,Yes,Petrol,2.4,No,Variator,Front,Left,4-5,12
27284,Japan,7,52000,Sedan,Yes,Petrol,2.5,No,Tiptronic,Front,Left,4-5,12
21639,Japan,5,34000,Jeep,No,Petrol,2.5,No,Variator,4X4,Left,4-5,7
7840,South Korea,12,140000,Hatchback,Yes,Petrol,1.6,No,Automatic,Front,Left,4-5,4
1646,Germany,5,59099,Jeep,Yes,Petrol,3.0,No,Automatic,4X4,Left,4-5,0
24198,South Korea,8,124000,Jeep,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,4
25365,Japan,8,34682,Hatchback,Yes,Petrol,1.5,No,Automatic,Front,Left,4-5,4
1725,USA,7,310061,Sedan,Yes,Petrol,2.5,No,Automatic,Front,Left,4-5,12
17249,Japan,9,22400,Sedan,No,Hybrid,1.8,No,Automatic,Front,Left,4-5,8
31361,South Korea,7,62000,Sedan,Yes,Petrol,2.0,Yes,Tiptronic,Front,Left,4-5,12
4704,South Korea,14,54279,Sedan,Yes,Diesel,1.6,No,Automatic,Front,Left,4-5,4
12720,USA,10,135759,Sedan,Yes,Petrol,1.8,No,Automatic,Front,Left,4-5,4
26372,South Korea,8,120534,Jeep,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,4
13485,Germany,18,189000,Jeep,Yes,Lpg,3.0,No,Tiptronic,4X4,Right,4-5,10
25591,South Korea,7,140000,Sedan,Yes,Petrol,1.6,No,Automatic,Front,Left,4-5,4
6429,Germany,11,108517,Sedan,Yes,Petrol,3.0,No,Automatic,4X4,Left,4-5,12
8097,South Korea,12,130000,Sedan,Yes,Petrol,1.6,No,Automatic,Front,Left,4-5,4
18503,South Korea,9,280480,Sedan,No,Hybrid,2.0,No,Automatic,Front,Left,4-5,9
12231,Japan,11,150000,Sedan,No,Hybrid,1.3,No,Variator,Front,Left,4-5,12
17054,South Korea,10,237853,Universal,Yes,Diesel,2.5,No,Automatic,Front,Left,4-5,4
5300,Japan,20,111000,Universal,No,Petrol,2.0,No,Automatic,Front,Right,4-5,6
9565,South Korea,6,42000,Sedan,Yes,Lpg,2.0,No,Automatic,Front,Left,4-5,4
24302,USA,6,60618,Sedan,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,4
18817,Japan,12,230400,Sedan,Yes,Petrol,2.4,No,Automatic,Front,Left,4-5,12
1960,Japan,7,127918,Sedan,Yes,Petrol,2.5,No,Automatic,Front,Left,4-5,12
17249,South Korea,5,77000,Sedan,No,Petrol,2.4,No,Tiptronic,Front,Left,4-5,10
15530,South Korea,5,280016,Sedan,Yes,Lpg,2.0,No,Automatic,Front,Left,4-5,4
11290,South Korea,5,270874,Sedan,Yes,Lpg,2.0,No,Automatic,Front,Left,4-5,4
24148,Japan,8,118000,Hatchback,No,Hybrid,1.8,No,Automatic,Front,Left,4-5,12
18817,South Korea,6,85000,Sedan,No,Petrol,1.8,No,Tiptronic,Front,Left,4-5,12
10349,Japan,7,132563,Hatchback,Yes,Hybrid,1.8,No,Automatic,Front,Left,4-5,0
25089,Japan,8,132800,Sedan,Yes,Petrol,2.5,No,Tiptronic,Rear,Left,4-5,12
18669,South Korea,10,52686,Minivan,Yes,Diesel,2.5,No,Automatic,Front,Left,4-5,4
15053,USA,20,253206,Microbus,No,Diesel,2.4,No,Manual,Rear,Left,4-5,2
10660,Japan,7,76525,Hatchback,Yes,Hybrid,1.5,No,Automatic,Front,Left,4-5,4
37000,South Korea,5,80000,Jeep,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,4
18826,,10,186412,Jeep,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,4
14583,Germany,10,230696,Sedan,Yes,Diesel,3.5,No,Automatic,4X4,Left,4-5,12
21012,Germany,14,285000,Minivan,No,Diesel,2.2,Yes,Manual,Rear,Left,4-5,4
5645,Japan,10,92000,Hatchback,No,Petrol,0.7,No,Automatic,Front,Right,4-5,2
18826,,11,120000,Jeep,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,4
22649,South Korea,10,142000,Jeep,Yes,Diesel,2.0,No,Automatic,Front,Left,4-5,4
16590,South Korea,10,42415,Minivan,Yes,Diesel,2.5,No,Automatic,Front,Left,4-5,4
31988,Japan,7,51000,Sedan,No,Hybrid,2.5,No,Automatic,Front,Left,4-5,12
8624,South Korea,12,19999,Sedan,Yes,Petrol,2.0,No,Automatic,Front,Left,4-5,4
21012,Japan,6,89000,Sedan,No,Hybrid,2.5,No,Variator,Front,Left,4-5,0
10663,Japan,7,114000,Hatchback,No,Hybrid,1.5,No,Automatic,Front,Right,4-5,8
13485,Germany,15,161000,Hatchback,No,Petrol,2.0,Yes,Manual,Front,Left,4-5,8
5331,Japan,18,241589,Hatchback,No,Petrol,1.3,No,Variator,Front,Right,4-5,5
7370,Germany,21,260000,Minivan,No,Petrol,1.8,No,Manual,Front,Left,4-5,6
11900,USA,18,195000,Microbus,Yes,Diesel,2.0,Yes,Manual,Front,Left,2-3,4
17249,Germany,6,55000,Sedan,Yes,Petrol,1.8,Yes,Tiptronic,Front,Left,4-5,10
4391,Japan,15,314000,Jeep,No,Petrol,0.7,No,Manual,4X4,Right,2-3,2
17876,USA,8,120000,Hatchback,Yes,Hybrid,2.0,No,Tiptronic,Front,Right,4-5,10
11604,Japan,11,157000,Hatchback,No,Hybrid,1.3,No,Tiptronic,Front,Right,4-5,2
40769,Japan,4,76000,Jeep,No,Petrol,2.5,No,Tiptronic,4X4,Left,4-5,12
7997,Japan,13,244731,Jeep,Yes,Hybrid,3.5,No,Automatic,Front,Left,4-5,12
14113,Germany,10,156800,Sedan,Yes,Petrol,2.5,No,Automatic,Front,Left,4-5,12
11917,Japan,10,188000,Hatchback,No,Hybrid,1.3,No,Automatic,Front,Right,4-5,8
12777,South Korea,8,162558,Sedan,Yes,Petrol,2.0,No,Automatic,Front,Left,4-5,4
18817,Japan,8,130000,Hatchback,No,Hybrid,1.5,No,Automatic,Front,Left,4-5,12
23521,Japan,9,83000,Sedan,Yes,Hybrid,2.5,No,Variator,Front,Left,4-5,10
22580,Germany,11,150400,Jeep,Yes,Petrol,3.2,No,Tiptronic,4X4,Left,4-5,7
12544,Japan,10,284678,Hatchback,No,Hybrid,1.8,No,Automatic,Front,Left,4-5,12
9722,USA,7,121000,Sedan,No,Petrol,1.4,Yes,Tiptronic,Front,Left,4-5,10
3450,South Korea,10,224349,Sedan,Yes,Hybrid,2.4,No,Automatic,Front,Left,4-5,0
1882,Japan,7,263392,Hatchback,Yes,Hybrid,1.8,No,Automatic,Front,Left,4-5,12
15991,USA,14,280000,Microbus,No,Diesel,2.2,Yes,Manual,Front,Left,4-5,2
11133,Japan,7,179381,Sedan,Yes,Hybrid,2.5,No,Automatic,Front,Left,4-5,12
34184,Germany,9,133000,Sedan,Yes,Petrol,3.5,No,Automatic,Rear,Left,4-5,12
